1980-01-01,15.428571428571429,1024.1714285714284,5.200000000000001,15.0,16.0,1022.8,1025.4,4.1,7.2	
1980-01-02,14.642857142857142,1024.242857142857,4.978571428571429,12.0,16.0,1022.8,1025.4,3.6,7.2	
1980-01-03,13.19047619047619,1024.104761904762,4.552380952380952,7.0,17.0,1021.9,1025.4,2.1,7.2	
1980-01-04,12.75,1023.7142857142857,4.2142857142857135,7.0,17.0,1021.8,1025.4,0.0,7.2	
1980-01-05,12.657142857142857,1023.6885714285714,3.5428571428571423,7.0,17.0,1021.8,1025.4,0.0,7.2	
1980-01-06,12.19047619047619,1023.3285714285715,2.999999999999999,5.0,17.0,1020.3,1025.4,0.0,7.2	
1980-01-07,11.75,1022.8041666666667,2.6458333333333326,5.0,17.0,1017.4,1025.4,0.0,7.2	
1980-01-08,11.415094339622641,1022.4811320754718,2.60377358490566,5.0,17.0,1017.4,1025.4,0.0,7.2	
1980-01-09,11.216666666666667,1022.3983333333334,2.6299999999999994,5.0,17.0,1017.4,1025.4,0.0,7.2	
1980-01-10,11.08955223880597,1022.6283582089555,2.582089552238805,5.0,17.0,1017.4,1026.2,0.0,7.2	
1980-01-11,10.876712328767123,1022.8328767123292,2.606849315068492,3.0,17.0,1017.4,1026.7,0.0,7.2	
1980-01-12,10.6,1022.3050000000005,2.567499999999999,3.0,17.0,1013.8,1026.7,0.0,7.2	
1980-01-13,10.425287356321839,1021.38275862069,2.7528735632183894,3.0,17.0,1007.0,1026.7,0.0,9.2	
1980-01-14,10.236559139784946,1020.4172043010755,2.865591397849461,3.0,17.0,1004.2,1026.7,0.0,9.2	
1980-01-15,10.090909090909092,1019.7121212121214,3.136363636363636,3.0,17.0,1004.2,1026.7,0.0,9.3	
1980-01-16,10.11320754716981,1018.6754716981133,3.475471698113206,3.0,17.0,1000.0,1026.7,0.0,9.3	
1980-01-17,10.176991150442477,1017.9017699115045,3.846902654867255,3.0,17.0,998.2,1026.7,0.0,17.5	
1980-01-18,10.216666666666667,1017.6683333333335,3.8908333333333323,3.0,17.0,998.2,1026.7,0.0,17.5	
1980-01-19,10.26984126984127,1017.6952380952382,3.875396825396825,3.0,17.0,998.2,1026.7,0.0,17.5	
1980-01-20,10.360902255639099,1017.9428571428573,3.8699248120300753,3.0,17.0,998.2,1026.7,0.0,17.5	
1980-01-21,10.357142857142858,1018.3057142857147,3.757142857142858,3.0,17.0,998.2,1026.7,0.0,17.5	
1980-01-22,10.34013605442177,1018.5265306122451,3.6952380952380963,3.0,17.0,998.2,1026.7,0.0,17.5	
1980-01-23,10.375,1018.5381578947372,3.649342105263159,3.0,18.0,998.2,1026.7,0.0,17.5	
1980-01-24,10.569620253164556,1018.5107594936711,3.5721518987341785,3.0,21.0,998.2,1026.7,0.0,17.5	
1980-01-25,10.75,1018.3707317073173,3.6475609756097587,3.0,21.0,998.2,1026.7,0.0,17.5	
1980-01-26,10.941520467836257,1018.0836257309943,3.8216374269005886,3.0,21.0,998.2,1026.7,0.0,17.5	
1980-01-27,11.112359550561798,1017.832584269663,3.9764044943820274,3.0,21.0,998.2,1026.7,0.0,17.5	
1980-01-28,11.26086956521739,1017.7864130434783,4.060869565217397,3.0,21.0,998.2,1026.7,0.0,17.5	
1980-01-29,11.331550802139038,1017.849732620321,4.050802139037439,3.0,21.0,998.2,1026.7,0.0,17.5	
1980-01-30,11.391752577319588,1017.9871134020622,4.004123711340212,3.0,21.0,998.2,1026.7,0.0,17.5	
1980-01-31,11.467661691542288,1018.085074626866,3.979104477611947,3.0,21.0,998.2,1026.7,0.0,17.5	
1980-02-01,11.5,1018.2701923076925,3.9274038461538527,3.0,21.0,998.2,1026.7,0.0,17.5	
1980-02-02,11.43720930232558,1018.5348837209305,3.8372093023255878,3.0,21.0,998.2,1027.9,0.0,17.5	
1980-02-03,11.404545454545454,1018.752272727273,3.775000000000006,3.0,21.0,998.2,1029.3,0.0,17.5	
1980-02-04,11.371681415929203,1018.9623893805314,3.7216814159292095,3.0,21.0,998.2,1029.3,0.0,17.5	
1980-02-05,11.334763948497853,1019.0935622317601,3.6927038626609505,3.0,21.0,998.2,1029.3,0.0,17.5	
1980-02-06,11.4,1019.2104166666672,3.6658333333333397,3.0,21.0,998.2,1029.3,0.0,17.5	
1980-02-07,11.449392712550607,1019.3251012145755,3.6028340080971724,3.0,21.0,998.2,1029.3,0.0,17.5	
1980-02-08,11.422924901185771,1019.3632411067199,3.581027667984196,3.0,21.0,998.2,1029.3,0.0,17.5	
1980-02-09,11.488461538461538,1019.3750000000007,3.5703846153846217,3.0,21.0,998.2,1029.3,0.0,17.5	
1980-02-10,11.50943396226415,1019.4898113207552,3.563018867924535,3.0,21.0,998.2,1029.3,0.0,17.5	
1980-02-11,11.488970588235293,1019.6290441176476,3.5514705882353006,3.0,21.0,998.2,1029.3,0.0,17.5	
1980-02-12,11.519713261648745,1019.7121863799288,3.6146953405017994,3.0,21.0,998.2,1029.3,0.0,17.5	
1980-02-13,11.533333333333333,1019.7729824561408,3.6087719298245684,3.0,21.0,998.2,1029.3,0.0,17.5	
1980-02-14,11.558219178082192,1019.817465753425,3.5445205479452127,3.0,21.0,998.2,1029.3,0.0,17.5	
1980-02-15,11.588628762541806,1019.9127090301008,3.491638795986629,3.0,21.0,998.2,1029.3,0.0,17.5	
1980-02-16,11.643790849673202,1020.0454248366018,3.4506535947712473,3.0,21.0,998.2,1029.3,0.0,17.5	
1980-02-17,11.73482428115016,1020.0881789137387,3.4357827476038385,3.0,21.0,998.2,1029.3,0.0,17.5	
